Região,Local,Gênero,"De que cor, ou raça, você se considera?",Idade,Naturalidade,Última cidade,Tempo na Cidade,Tempo de Rua,Escolaridade,Categorização,Caracterização,Tipo de Substância,Documentação,Tem Cadastro Único,Benefício Sócio-assistencial,Benefícios Previdenciários
Norte,Abrigos,Masculino,Parda,25 à 39 anos,Campinas,Campinas,Mais de 10 Anos,1 à 2 Anos,Ensino Médio Incompleto,Abrigado,Faz Uso de Substância Psicoativa,Maconha,Sim,Sim,Bolsa Família,
Leste,Abrigos,Masculino,Parda,40 à 49 anos,São Paulo - Capital,São Paulo - Capital,5 à 10 Anos,1 dia à 1 Mês,Ensino Fundamental Incompleto,Abrigado,NDA,,Sim,Sim,,
Leste,Abrigos,Masculino,Branca,25 à 39 anos,Outro Estado,Outro Estado,6 Meses à 1 Ano,5 à 10 Anos,Ensino Fundamental Incompleto,Abrigado,Suspeita de Transtorno Mental,Álcool,Sim,Sim,Bolsa Família,
Leste,Abrigos,Masculino,Preta,25 à 39 anos,Outro Estado,Outro Estado,5 à 10 Anos,5 à 10 Anos,Ensino Médio Incompleto,Abrigado,NDA,Álcool,Sim,Sim,Bolsa Família,
Leste,Abrigos,Masculino,Branca,50 à 59 anos,São Paulo - Capital,Estado de São Paulo,Mais de 10 Anos,Mais de 10 Anos,Ensino Fundamental Incompleto,Abrigado,"Suspeita de Transtorno Mental, Faz Uso de Substância Psicoativa","Crack, Álcool, Cocaína",Sim,Sim,Bolsa Família,
Sul,Abrigos,Feminino,Branca,25 à 39 anos,São Paulo - Capital,Outro Estado,2 à 5 Anos,1 à 2 Anos,Ensino Médio Incompleto,Abrigado,Faz Uso de Substância Psicoativa,"Crack, Maconha, Tabaco",,Sim,Bolsa Família,
Leste,Abrigos,Masculino,Branca,40 à 49 anos,Campinas,Campinas,Mais de 10 Anos,6 Meses à 1 Ano,Ensino Fundamental Incompleto,Abrigado,Faz Uso de Substância Psicoativa,"Crack, Álcool, Cocaína, Tabaco",Sim,Sim,Bolsa Família,
Leste,Serviços de Acolhimento,Masculino,Parda,50 à 59 anos,Outro Estado,Campinas,1 à 2 Anos,1 à 2 Anos,,Abrigado,Faz Uso de Substância Psicoativa,Álcool,Não,,,
Leste,Serviços de Acolhimento,Masculino,Parda,50 à 59 anos,Outro Estado,Campinas,Mais de 10 Anos,1 à 3 Meses,Ensino Médio Completo,Abrigado,,Álcool,Sim,Sim,Bolsa Família,
Leste,Serviços de Acolhimento,Masculino,Branca,25 à 39 anos,Outro Estado,Região Metropolitana de Campinas,,,Ensino Médio Incompleto,Abrigado,,Álcool,Sim,Sim,Bolsa Família,
Leste,Serviços de Acolhimento,Masculino,Parda,50 à 59 anos,Estado de São Paulo,Campinas,Mais de 10 Anos,Mais de 10 Anos,Ensino Fundamental Incompleto,Abrigado,,Álcool,Sim,,Bolsa Família,
Leste,Serviços de Acolhimento,Masculino,Parda,40 à 49 anos,Estado de São Paulo,Campinas,1 dia à 1 Mês,5 à 10 Anos,Ensino Fundamental Incompleto,Abrigado,,,Sim,Sim,,
,Serviços de Acolhimento,Masculino,Parda,40 à 49 anos,Campinas,Campinas,Mais de 10 Anos,3 à 6 Meses,Ensino Fundamental Incompleto,Abrigado,,Álcool,Sim,Sim,Bolsa Família,
Norte,Serviços de Acolhimento,Masculino,Parda,25 à 39 anos,Estado de São Paulo,Campinas,Mais de 10 Anos,Mais de 10 Anos,Ensino Fundamental Incompleto,Abrigado,,Cocaína,Sim,Sim,Bolsa Família,
Norte,Serviços de Acolhimento,Masculino,Branca,25 à 39 anos,Campinas,Campinas,Mais de 10 Anos,5 à 10 Anos,Ensino Superior Incompleto,Abrigado,,Cocaína,Sim,,Bolsa Família,
Norte,Serviços de Acolhimento,Masculino,Preta,18 à 24 anos,Campinas,Campinas,Mais de 10 Anos,1 à 3 Meses,Ensino Médio Incompleto,Abrigado,,Maconha,Sim,,,
Norte,Serviços de Acolhimento,Masculino,Preta,50 à 59 anos,Campinas,Campinas,Mais de 10 Anos,1 à 2 Anos,Ensino Fundamental Incompleto,Abrigado,,,Sim,,Bolsa Família,
Norte,Serviços de Acolhimento,Masculino,Branca,40 à 49 anos,Estado de São Paulo,Campinas,,1 dia à 1 Mês,Ensino Fundamental Incompleto,Abrigado,,Álcool,Sim,,Bolsa Família,
Norte,Serviços de Acolhimento,Masculino,Branca,18 à 24 anos,Outro Estado,Campinas,2 à 5 Anos,2 à 5 Anos,Ensino Médio Incompleto,Abrigado,,Maconha,Sim,Sim,Bolsa Família,
Norte,Serviços de Acolhimento,Masculino,Parda,25 à 39 anos,Estado de São Paulo,Campinas,3 à 6 Meses,2 à 5 Anos,Ensino Médio Incompleto,Abrigado,,Álcool,Sim,Sim,Bolsa Família,
Norte,Serviços de Acolhimento,Masculino,Branca,25 à 39 anos,Outro Estado,Campinas,5 à 10 Anos,5 à 10 Anos,Ensino Médio Incompleto,Abrigado,,Maconha,Sim,,Bolsa Família,
Norte,Serviços de Acolhimento,Masculino,Parda,40 à 49 anos,Outro Estado,Campinas,Mais de 10 Anos,2 à 5 Anos,Ensino Médio Completo,Abrigado,,Álcool,Sim,,Bolsa Família,
Norte,Serviços de Acolhimento,Masculino,Parda,40 à 49 anos,Outro Estado,Campinas,Mais de 10 Anos,2 à 5 Anos,Ensino Médio Completo,Abrigado,,Álcool,Sim,Sim,Bolsa Família,
Norte,Serviços de Acolhimento,Masculino,Preta,40 à 49 anos,Campinas,Campinas,Mais de 10 Anos,Mais de 10 Anos,,Abrigado,,Álcool,Sim,,Bolsa Família,
Norte,Serviços de Acolhimento,Masculino,Branca,50 à 59 anos,Campinas,Campinas,,,Ensino Médio Completo,Abrigado,,Álcool,Sim,,Bolsa Família,
Leste,Rua,Masculino,S.I.,50 à 59 anos,Região Metropolitana de Campinas,Região Metropolitana de Campinas,5 à 10 Anos,5 à 10 Anos,,Morador de Rua,,Álcool,Sim,Sim,Bolsa Família,
Leste,Rua,Masculino,Branca,25 à 39 anos,Campinas,Campinas,Mais de 10 Anos,2 à 5 Anos,Ensino Fundamental Incompleto,Morador de Mocó,Faz Uso de Substância Psicoativa,"Crack, Álcool",Sim,Não,,
Leste,Rua,Masculino,Branca,40 à 49 anos,Outro Estado,Outro Estado,2 à 5 Anos,2 à 5 Anos,Ensino Fundamental Incompleto,Morador de Rua,Faz Uso de Substância Psicoativa,"Crack, Álcool",Sim,Sim,Bolsa Família,
Leste,Rua,Masculino,Branca,25 à 39 anos,Campinas,Campinas,Mais de 10 Anos,1 à 2 Anos,Ensino Fundamental Incompleto,Morador de Rua,,"Álcool, Maconha, Cocaína",Sim,Sim,Bolsa Família,
Leste,Rua,Masculino,Parda,50 à 59 anos,Região Metropolitana de Campinas,Estado de São Paulo,1 à 3 Meses,1 à 3 Meses,Ensino Fundamental Incompleto,Morador de Rua,Faz Uso de Substância Psicoativa,"Crack, Álcool",Não,Sim,Bolsa Família,
Leste,Rua,Masculino,Branca,40 à 49 anos,Outro Estado,,5 à 10 Anos,2 à 5 Anos,,,Faz Uso de Substância Psicoativa,"Crack, Álcool",Sim,Sim,Bolsa Família,
Leste,Rua,Masculino,,25 à 39 anos,,,,2 à 5 Anos,,Morador de Rua,,,,,,
Leste,Rua,Masculino,Indígena,25 à 39 anos,Estado de São Paulo,Campinas,5 à 10 Anos,2 à 5 Anos,,Morador de Rua,,"Álcool, Tabaco",Sim,Sim,Bolsa Família,
Leste,Rua,Masculino,Branca,40 à 49 anos,São Paulo - Capital,Estado de São Paulo,5 à 10 Anos,1 à 2 Anos,Ensino Médio Completo,Morador de Rua,"Suspeita de Transtorno Mental, Faz Uso de Substância Psicoativa","Álcool, Cocaína, Tabaco",Não,Não,,
Leste,Rua,Masculino,Branca,40 à 49 anos,São Paulo - Capital,Estado de São Paulo,2 à 5 Anos,2 à 5 Anos,,Morador de Mocó,"Suspeita de Transtorno Mental, Faz Uso de Substância Psicoativa",,Sim,,BPC,
Leste,Rua,Masculino,Parda,25 à 39 anos,,,5 à 10 Anos,2 à 5 Anos,,Morador de Rua,Faz Uso de Substância Psicoativa,,,,,
Sul,Casa da Cidadania,Masculino,Parda,25 à 39 anos,,,,,,Morador de Rua,Faz Uso de Substância Psicoativa,Crack,,Sim,Bolsa Família,
Sul,Rua,Feminino,Preta,25 à 39 anos,Campinas,Campinas,Mais de 10 Anos,5 à 10 Anos,Ensino Fundamental Incompleto,Vive na Rua,Faz Uso de Substância Psicoativa,"Crack, Álcool, Maconha, Cocaína, Tabaco",Sim,Não,,
Sul,Casa da Cidadania,Masculino,Branca,50 à 59 anos,Outro Estado,São Paulo - Capital,3 à 6 Meses,1 à 3 Meses,Ensino Médio Completo,Morador de Rua,NDA,Álcool,Sim,,,Aposentadoria
Sul,Casa da Cidadania,Masculino,Branca,25 à 39 anos,Estado de São Paulo,Estado de São Paulo,2 à 5 Anos,2 à 5 Anos,Ensino Médio Completo,Morador de Rua,NDA,"Álcool, Maconha, Tabaco",Não,Não,,
Leste,Rua,Masculino,Parda,25 à 39 anos,Outro Estado,Região Metropolitana de Campinas,2 à 5 Anos,1 à 3 Meses,Ensino Médio Completo,Morador de Rua,NDA,,Sim,Sim,,
Leste,Rua,Masculino,Branca,25 à 39 anos,Campinas,Campinas,Mais de 10 Anos,2 à 5 Anos,Ensino Fundamental Incompleto,Vive na Rua,Faz Uso de Substância Psicoativa,"Maconha, Tabaco",Sim,Sim,Bolsa Família,
Leste,Rua,Masculino,Branca,25 à 39 anos,Estado de São Paulo,Estado de São Paulo,5 à 10 Anos,1 dia à 1 Mês,Ensino Médio Completo,Pensão,Suspeita de Transtorno Mental,,Sim,,,
Leste,Rua,Masculino,Parda,50 à 59 anos,Campinas,Campinas,Mais de 10 Anos,5 à 10 Anos,Ensino Fundamental Incompleto,Morador de Rua,Faz Uso de Substância Psicoativa,"Crack, Álcool, Tabaco",Não,Não,,
,,Masculino,Branca,25 à 39 anos,São Paulo - Capital,Estado de São Paulo,1 à 3 Meses,2 à 5 Anos,Ensino Fundamental Incompleto,Vive na Rua,Faz Uso de Substância Psicoativa,"Maconha, Tabaco",Não,,Bolsa Família,
Leste,Rua,Masculino,Parda,18 à 24 anos,,Campinas,Mais de 10 Anos,2 à 5 Anos,Ensino Superior Completo,Vive na Rua,Faz Uso de Substância Psicoativa,"Crack, Maconha, Cocaína, Tabaco",Não,Não,,
Leste,Rua,,Branca,,,,,,,,,,,,,
Leste,Rua,Feminino,Indígena,25 à 39 anos,Estado de São Paulo,Estado de São Paulo,1 à 3 Meses,2 à 5 Anos,Ensino Fundamental Incompleto,Morador de Rua,Faz Uso de Substância Psicoativa,"Crack, Álcool, Cocaína, Tabaco",Sim,Sim,Bolsa Família,
Leste,Rua,Masculino,Parda,25 à 39 anos,Estado de São Paulo,Estado de São Paulo,Mais de 10 Anos,Mais de 10 Anos,Ensino Fundamental Incompleto,Morador de Rua,,"Álcool, Maconha, Tabaco",Não,Não,,
Leste,Rua,Masculino,Parda,40 à 49 anos,Outro Estado,Região Metropolitana de Campinas,1 à 2 Anos,Mais de 10 Anos,Ensino Superior Incompleto,Morador de Rua,Faz Uso de Substância Psicoativa,Álcool,Sim,Sim,Bolsa Família,
Leste,Rua,,Branca,25 à 39 anos,Outro Estado,Outro Estado,1 à 2 Anos,2 à 5 Anos,Ensino Médio Completo,Morador de Rua,Faz Uso de Substância Psicoativa,"Crack, Tabaco",Não,Sim,,
Leste,Rua,Masculino,Parda,18 à 24 anos,Estado de São Paulo,Estado de São Paulo,1 dia à 1 Mês,1 dia à 1 Mês,Ensino Médio Completo,Casa da mãe em Jaguariuna,NDA,Tabaco,Não,Não,,
Leste,Rua,Masculino,Branca,25 à 39 anos,Campinas,Campinas,Mais de 10 Anos,3 à 6 Meses,Ensino Médio Completo,Munícipe,Faz Uso de Substância Psicoativa,"Cocaína, Tabaco",Sim,Não,,
Leste,Rua,Masculino,Branca,Acima de 60 anos,,,,,,,,,,,,
Leste,Rua,Masculino,Parda,40 à 49 anos,Outro Estado,São Paulo - Capital,3 à 6 Meses,Mais de 10 Anos,Ensino Médio Completo,Itinerante,NDA,,Sim,Sim,Bolsa Família,
Leste,Rua,Masculino,,25 à 39 anos,,,,,,,,,,,,
Leste,Rua,Masculino,Parda,25 à 39 anos,Outro Estado,Campinas,Mais de 10 Anos,Mais de 10 Anos,Ensino Fundamental Incompleto,Morador de Rua,Faz Uso de Substância Psicoativa,"Crack, Álcool, Tabaco",Sim,Não,,
Leste,Rua,Masculino,Branca,40 à 49 anos,Estado de São Paulo,Estado de São Paulo,1 à 2 Anos,1 à 2 Anos,Ensino Médio Completo,Morador de Rua,Faz Uso de Substância Psicoativa,Crack,,Sim,Bolsa Família,
Leste,Rua,Masculino,Preta,25 à 39 anos,Campinas,Campinas,Mais de 10 Anos,Mais de 10 Anos,Ensino Fundamental Incompleto,Morador de Rua,Faz Uso de Substância Psicoativa,"Crack, Álcool, Maconha, Cocaína, Tabaco",Sim,,,Aposentadoria
Leste,Rua,Masculino,Parda,25 à 39 anos,Outro Estado,Campinas,Mais de 10 Anos,,Alfabetizado,Morador de Rua,,Álcool,Não,,,
Leste,Rua,Masculino,Parda,40 à 49 anos,Outro Estado,Campinas,Mais de 10 Anos,2 à 5 Anos,Ensino Fundamental Incompleto,Morador de Rua,,Álcool,Sim,Sim,Bolsa Família,
Leste,Rua,Masculino,Preta,50 à 59 anos,Estado de São Paulo,Campinas,Mais de 10 Anos,,Ensino Superior Completo,Munícipe,,,Sim,,,
Leste,Rua,Masculino,Branca,50 à 59 anos,São Paulo - Capital,Região Metropolitana de Campinas,Mais de 10 Anos,Mais de 10 Anos,Ensino Fundamental Incompleto,Morador de Rua,,"Crack, Maconha, Tabaco",Não,Não,,
Leste,Rua,Masculino,,25 à 39 anos,São Paulo - Capital,Campinas,Mais de 10 Anos,Mais de 10 Anos,Ensino Fundamental Incompleto,Morador de Rua,,"Crack, Álcool",,,,
Leste,Rua,Masculino,Parda,40 à 49 anos,Campinas,Campinas,Mais de 10 Anos,2 à 5 Anos,Ensino Superior Incompleto,Morador de Rua,Faz Uso de Substância Psicoativa,Álcool,Não,,,
Leste,Rua,Masculino,Branca,40 à 49 anos,Outro Estado,Estado de São Paulo,1 dia à 1 Mês,1 dia à 1 Mês,Ensino Fundamental Incompleto,Morador de Rua,,Álcool,Não,Não,,
Norte,SAMIM,Masculino,Branca,40 à 49 anos,Estado de São Paulo,Campinas,Mais de 10 Anos,1 dia à 1 Mês,Ensino Fundamental Incompleto,Abrigado,"Suspeita de Transtorno Mental, Faz Uso de Substância Psicoativa","Álcool, Maconha, Cocaína",Sim,Sim,,Auxílio-Doença
Norte,SAMIM,Feminino,Parda,Acima de 60 anos,Outro Estado,Campinas,Mais de 10 Anos,1 dia à 1 Mês,Ensino Fundamental Incompleto,Abrigado,NDA,,Sim,Sim,,Aposentadoria
Norte,SAMIM,Feminino,Indígena,18 à 24 anos,Outro Estado,Campinas,1 à 2 Anos,1 dia à 1 Mês,Ensino Superior Incompleto,Abrigado,NDA,,Sim,Sim,,
Norte,SAMIM,Masculino,Preta,25 à 39 anos,Estado de São Paulo,Campinas,Mais de 10 Anos,1 dia à 1 Mês,Ensino Fundamental Incompleto,Abrigado,NDA,Tabaco,Sim,Não,,
Norte,Rua,,,,,,,,,Ex Morador de Rua,,,,,,
Leste,Rua,Masculino,Branca,50 à 59 anos,Campinas,Campinas,Mais de 10 Anos,Mais de 10 Anos,,Morador de Rua,Pessoa Com Deficiência,"Crack, Álcool, Maconha, Cocaína, Tabaco",Sim,Não,,Aposentadoria
Norte,SAMIM,Masculino,Parda,18 à 24 anos,Campinas,Campinas,Mais de 10 Anos,1 dia à 1 Mês,Ensino Fundamental Incompleto,Abrigado,Faz Uso de Substância Psicoativa,"Álcool, Maconha, Tabaco",Sim,Não,,
Norte,SAMIM,Masculino,Parda,25 à 39 anos,Campinas,Região Metropolitana de Campinas,Mais de 10 Anos,1 dia à 1 Mês,Ensino Fundamental Incompleto,Abrigado,NDA,,Sim,Não,,
Leste,,,,,,,,,,Vive na Rua,,Álcool,,,,
Leste,,Masculino,,,,,,,,Vive na Rua,,,,,,
Leste,Rua,Masculino,,40 à 49 anos,,,,,,Vive na Rua,,,,,,
Sul,Rua,Feminino,Parda,25 à 39 anos,,,,,,Vive na Rua,,,,,,
Leste,Rua,Masculino,,40 à 49 anos,,,,,,Vive na Rua,,,,,,
Norte,SAMIM,Masculino,Preta,Acima de 60 anos,Outro Estado,São Paulo - Capital,1 dia à 1 Mês,1 dia à 1 Mês,Ensino Fundamental Incompleto,Pensão,NDA,,,Sim,,Aposentadoria
Norte,SAMIM,Masculino,Branca,40 à 49 anos,Campinas,Campinas,Mais de 10 Anos,1 dia à 1 Mês,Ensino Fundamental Completo,Ex Morador de Rua,Pessoa Com Deficiência,,Sim,Não,,
Leste,Rua,Masculino,Parda,50 à 59 anos,Campinas,Campinas,Mais de 10 Anos,Mais de 10 Anos,Ensino Fundamental Incompleto,Pensão,Pessoa Com Deficiência,,Sim,Sim,BPC,
Leste,Rua,Masculino,Preta,25 à 39 anos,Campinas,Campinas,Mais de 10 Anos,1 dia à 1 Mês,Não Alfabetizado,Pensão,NDA,"Crack, Álcool, Maconha, Cocaína, Tabaco",Sim,,,
Leste,Rua,Masculino,Branca,Acima de 60 anos,Estado de São Paulo,Campinas,Mais de 10 Anos,1 à 3 Meses,Ensino Fundamental Completo,Ex Morador de Rua,,,Sim,Sim,Bolsa Família,
Leste,Rua,Feminino,Branca,50 à 59 anos,Estado de São Paulo,Campinas,Mais de 10 Anos,Mais de 10 Anos,Ensino Fundamental Incompleto,Pensão,Faz Uso de Substância Psicoativa,Álcool,Sim,Sim,Bolsa Família,
Leste,Rua,Masculino,Preta,25 à 39 anos,Campinas,Campinas,Mais de 10 Anos,1 dia à 1 Mês,Ensino Médio Completo,Pensão,,,Sim,,,
Leste,Rua,Masculino,Parda,25 à 39 anos,Estado de São Paulo,Estado de São Paulo,Mais de 10 Anos,5 à 10 Anos,Ensino Fundamental Completo,Ex Morador de Rua,Pessoa Com Deficiência,"Álcool, Maconha",Sim,Sim,Bolsa Família,
Leste,Rua,Masculino,Parda,25 à 39 anos,Outro Estado,Outro Estado,3 à 6 Meses,1 à 3 Meses,Ensino Médio Incompleto,Pensão,,,Sim,Não,,
Leste,Rua,LGBT (Queer),Parda,18 à 24 anos,Outro Estado,Outro Estado,1 à 2 Anos,,Ensino Fundamental Completo,Pensão,Faz Uso de Substância Psicoativa,Maconha,,Sim,,
Leste,Rua,Masculino,Branca,40 à 49 anos,Campinas,Campinas,Mais de 10 Anos,2 à 5 Anos,Ensino Fundamental Incompleto,Pensão,,"Álcool, Tabaco",Sim,Sim,Bolsa Família,
Leste,Rua,Masculino,Preta,25 à 39 anos,Estado de São Paulo,Estado de São Paulo,5 à 10 Anos,,Ensino Superior Incompleto,Pensão,Faz Uso de Substância Psicoativa,"Álcool, Tabaco",Sim,Não,,
Leste,,Masculino,Preta,25 à 39 anos,Outro Estado,Estado de São Paulo,,5 à 10 Anos,Ensino Fundamental Incompleto,Pensão,Faz Uso de Substância Psicoativa,Tabaco,Sim,Não,,
Leste,Rua,LGBT (Queer),Branca,25 à 39 anos,Estado de São Paulo,Estado de São Paulo,,6 Meses à 1 Ano,Ensino Médio Completo,Pensão,,"Maconha, Tabaco",Sim,Não,,
Leste,Rua,Masculino,Preta,40 à 49 anos,Outro Estado,Campinas,Mais de 10 Anos,,Ensino Fundamental Completo,Vive na Rua,,"Álcool, Tabaco",Sim,Não,,
Leste,Rua,Masculino,Branca,40 à 49 anos,,Outro Estado,Mais de 10 Anos,2 à 5 Anos,Ensino Fundamental Incompleto,Pensão,Faz Uso de Substância Psicoativa,"Crack, Álcool, Maconha, Cocaína, Tabaco",Sim,Sim,Bolsa Família,
Leste,Rua,Masculino,Branca,40 à 49 anos,Estado de São Paulo,Estado de São Paulo,2 à 5 Anos,3 à 6 Meses,Ensino Médio Completo,Pensão,Faz Uso de Substância Psicoativa,Tabaco,Sim,Sim,Bolsa Família,
Leste,Rua,Masculino,Branca,50 à 59 anos,,Campinas,Mais de 10 Anos,3 à 6 Meses,Ensino Médio Completo,Pensão,Faz Uso de Substância Psicoativa,Álcool,Sim,Sim,Bolsa Família,
Leste,Rua,Masculino,Branca,25 à 39 anos,Campinas,,,,Ensino Superior Completo,Pensão,Faz Uso de Substância Psicoativa,Álcool,,,,
,Casa da Cidadania,Masculino,Preta,40 à 49 anos,Campinas,Campinas,Mais de 10 Anos,5 à 10 Anos,Ensino Médio Completo,Pensão,,"Maconha, Tabaco",Sim,Sim,Bolsa Família,
Leste,Rua,Masculino,Branca,40 à 49 anos,Campinas,,,,Ensino Médio Completo,Pensão,,,Sim,Sim,,
Leste,Casa da Cidadania,Masculino,Branca,40 à 49 anos,Estado de São Paulo,Estado de São Paulo,1 à 3 Meses,2 à 5 Anos,Ensino Superior Incompleto,Pensão,Faz Uso de Substância Psicoativa,"Crack, Álcool, Maconha, Cocaína, Tabaco, Cogumelo, LSD, Esctazy.",Sim,Não,,Aposentadoria
Noroeste,,Masculino,Preta,Acima de 60 anos,Outro Estado,Outro Estado,Mais de 10 Anos,Mais de 10 Anos,Ensino Fundamental Incompleto,Pensão,NDA,,Sim,,,Aposentadoria
Leste,Rua,Masculino,Parda,50 à 59 anos,Outro Estado,Campinas,Mais de 10 Anos,1 dia à 1 Mês,Ensino Fundamental Incompleto,Pensão,,Tabaco,Sim,Sim,,
Leste,Rua,Feminino,Branca,40 à 49 anos,Outro Estado,Região Metropolitana de Campinas,Mais de 10 Anos,1 dia à 1 Mês,Ensino Fundamental Incompleto,Mora em Hortolândia ,,"Crack, Álcool, Tabaco",Sim,Sim,,
Leste,Rua,Masculino,Parda,Acima de 60 anos,Outro Estado,Campinas,2 à 5 Anos,1 à 2 Anos,Ensino Fundamental Incompleto,Pensão,,,Sim,Sim,Bolsa Família,
Leste,Rua,Masculino,Preta,40 à 49 anos,Campinas,Campinas,Mais de 10 Anos,3 à 6 Meses,Ensino Fundamental Completo,Pensão,,,Sim,,,
Leste,Casa da Cidadania,Feminino,Parda,40 à 49 anos,Outro Estado,Campinas,Mais de 10 Anos,,Não Alfabetizado,Morador de Rua,NDA,"Crack, Álcool, Tabaco",Sim,Sim,Bolsa Família,
Leste,Rua,Feminino,Branca,Acima de 60 anos,Outro Estado,Campinas,Mais de 10 Anos,Mais de 10 Anos,Ensino Fundamental Incompleto,Pensão,,,Sim,Sim,,Aposentadoria
Leste,Rua,Masculino,Parda,40 à 49 anos,Outro Estado,Estado de São Paulo,Mais de 10 Anos,1 à 2 Anos,Ensino Fundamental Completo,Morador de Rua,,Álcool,Sim,Sim,Bolsa Família,
Sul,Rua,Masculino,Branca,25 à 39 anos,Campinas,Campinas,Mais de 10 Anos,1 dia à 1 Mês,,Morador de Rua,,"Crack, Álcool, Maconha, Cocaína, Tabaco",Não,Não,,
Norte,SAMIM,Masculino,Branca,25 à 39 anos,Campinas,Campinas,Mais de 10 Anos,1 dia à 1 Mês,Ensino Fundamental Incompleto,Munícipe,NDA,Tabaco,Sim,Sim,Bolsa Família,
Leste,Igreja do Carmo,Feminino,Preta,25 à 39 anos,Campinas,Campinas,Mais de 10 Anos,,,Munícipe,Faz Uso de Substância Psicoativa,"Álcool, Maconha, Cocaína, Tabaco",Sim,Não,,
Sul,Casa da Cidadania,Masculino,Preta,40 à 49 anos,Outro Estado,Outro Estado,Mais de 10 Anos,2 à 5 Anos,Ensino Médio Incompleto,Casa da mãe,NDA,Álcool,Sim,Sim,Bolsa Família,
Leste,,Feminino,Parda,Até 17 anos,Campinas,Campinas,Mais de 10 Anos,,Ensino Médio Incompleto,Munícipe,NDA,,Sim,Não,,
Noroeste,Rua,Masculino,Parda,25 à 39 anos,Campinas,Estado de São Paulo,Mais de 10 Anos,6 Meses à 1 Ano,Ensino Médio Completo,voltou para casa,Faz Uso de Substância Psicoativa,"Crack, Tabaco",Sim,Não,,
Noroeste,Rua,Masculino,Parda,25 à 39 anos,São Paulo - Capital,São Paulo - Capital,Mais de 10 Anos,1 à 2 Anos,Ensino Fundamental Completo,Morador de Rua,"Suspeita de Deficiência Intelectual, Faz Uso de Substância Psicoativa","Crack, Álcool, Maconha, Tabaco",Sim,Sim,Bolsa Família,
Norte,,Masculino,Preta,40 à 49 anos,Campinas,Região Metropolitana de Campinas,3 à 6 Meses,3 à 6 Meses,Ensino Médio Incompleto,Itinerante,Faz Uso de Substância Psicoativa,Crack,Sim,Não,,
Norte,SAMIM,Masculino,Parda,25 à 39 anos,Campinas,Campinas,1 à 2 Anos,2 à 5 Anos,Ensino Fundamental Incompleto,Itinerante,,"Álcool, Maconha",Sim,Não,,
Norte,SAMIM,Masculino,Parda,25 à 39 anos,Campinas,Outro Estado,Mais de 10 Anos,3 à 6 Meses,Ensino Médio Incompleto,Morador de Rua,Faz Uso de Substância Psicoativa,Crack,,Não,,
Norte,SAMIM,,,25 à 39 anos,Outro Estado,Estado de São Paulo,Mais de 10 Anos,3 à 6 Meses,Ensino Médio Incompleto,Morador de Mocó,,Álcool,Sim,Sim,Bolsa Família,
Norte,SAMIM,Feminino,Parda,25 à 39 anos,Outro Estado,Outro Estado,5 à 10 Anos,2 à 5 Anos,Ensino Fundamental Incompleto,Morador de Rua,Faz Uso de Substância Psicoativa,"Crack, Álcool",Não,Não,,
Norte,SAMIM,Masculino,Preta,25 à 39 anos,Campinas,Campinas,Mais de 10 Anos,1 à 2 Anos,Ensino Médio Incompleto,Morador de Rua,,Álcool,Sim,Sim,Bolsa Família,
Sul,Casa da Cidadania,Feminino,Parda,40 à 49 anos,Outro Estado,Campinas,Mais de 10 Anos,,Não Alfabetizado,Ex Morador de Rua,NDA,"Crack, Álcool, Tabaco",Sim,Sim,Bolsa Família,
Norte,SAMIM,Masculino,Branca,25 à 39 anos,Outro Estado,Outro Estado,1 à 2 Anos,1 à 2 Anos,Não Alfabetizado,Morador de Rua,Faz Uso de Substância Psicoativa,"Crack, Álcool",Sim,Sim,Bolsa Família,
Sul,Casa da Cidadania,Masculino,Branca,40 à 49 anos,Estado de São Paulo,Estado de São Paulo,1 à 3 Meses,2 à 5 Anos,Ensino Superior Incompleto,Pensão,Faz Uso de Substância Psicoativa,"Crack, Álcool, Maconha, Cocaína, Tabaco, Cogumelo, LSD, Esctazy",Sim,Não,,
Norte,Rua,Masculino,Branca,40 à 49 anos,Estado de São Paulo,Campinas,Mais de 10 Anos,Mais de 10 Anos,Ensino Médio Incompleto,Morador de Rua,Faz Uso de Substância Psicoativa,"Crack, Álcool",Sim,Não,,
Norte,Terminal Metropolitano,Masculino,Preta,25 à 39 anos,Outro Estado,Estado de São Paulo,1 à 2 Anos,6 Meses à 1 Ano,Ensino Fundamental Incompleto,Morador de Rua,"Suspeita de Deficiência Intelectual, Faz Uso de Substância Psicoativa","Crack, Álcool, Maconha",Sim,Sim,BPC,
Norte,Terminal Metropolitano ,Masculino,Parda,50 à 59 anos,Estado de São Paulo,Outro Estado,6 Meses à 1 Ano,2 à 5 Anos,Ensino Fundamental Completo,Morador de Rua,,Álcool,Não,Não,,
Noroeste,Rua,Masculino,Preta,25 à 39 anos,,,,,,,,,,,,
Norte,,Masculino,Parda,18 à 24 anos,Estado de São Paulo,Estado de São Paulo,3 à 6 Meses,3 à 6 Meses,Ensino Fundamental Completo,Morador de Rua,,"Crack, Álcool, Maconha",Não,Não,,
Norte,Rua,Masculino,,,Estado de São Paulo,Estado de São Paulo,6 Meses à 1 Ano,,Ensino Fundamental Completo,Morador de Mocó,Faz Uso de Substância Psicoativa,"Crack, Álcool",Não,Não,,
